job_title,job_description,skills_extracted,location,experience,role_category,source_dataset
Data Scientist: Artificial Intelligence,"Enterprise applications, Open source, AWS, Analytics, LEX, IT Skills, Automation testing, Artificial Intelligence","Enterprise applications, Open source, AWS, Analytics, LEX, IT Skills, Automation testing, Artificial Intelligence",Bangalore/Bengaluru,3-7,Data Science,Naukri
Data Scientist: Artificial Intelligence,"IVR, Enterprise applications, Artificial Intelligence, Open source, Python, IT Skills, Java, AWS","IVR, Enterprise applications, Artificial Intelligence, Open source, Python, IT Skills, Java, AWS",Bangalore/Bengaluru,3-7,Data Science,Naukri
Data Scientist,"cloud, Hive, python, Hadoop, Big Data","cloud, Hive, python, Hadoop, Big Data","Noida, Bangalore/Bengaluru",3-6,Data Science,Naukri
Associate Data Scientist,"Economics, stats Graduate, Data scientist, Machine Learning Eng","Economics, stats Graduate, Data scientist, Machine Learning Eng","Mumbai, Pune, Bangalore/Bengaluru, Mumbai",3-7,Data Science,Naukri
Digital-Associate Process Manager - Data Scientist APM,"Data Scientist, IT Skills, Project Management, BPO, project management, auditing, travel, story telling","Data Scientist, IT Skills, Project Management, BPO, project management, auditing, travel, story telling",Pune,4-6,Data Science,Naukri
Data Scientist,"data science, Azure, NLP, Algorithms, Data Scientist, Cloud, AWS, Python","data science, Azure, NLP, Algorithms, Data Scientist, Cloud, AWS, Python","Mumbai, Bangalore/Bengaluru",10-15,Data Science,Naukri
Data Scientist,"data mining, -, R, Tableau, communication, SQL, C++, Python","data mining, -, R, Tableau, communication, SQL, C++, Python",Bangalore/Bengaluru,5-8,Data Science,Naukri
Data Scientist,"Data Analysis, analytics, Data modeling, IT Skills, Machine Learning, Tableau analytics, R, SQL","Data Analysis, analytics, Data modeling, IT Skills, Machine Learning, Tableau analytics, R, SQL",Bangalore/Bengaluru,8-13,Data Science,Naukri
Data Scientist,"SQL, Analytical, Python, Tableau, communication, data mining, Hadoop, R","SQL, Analytical, Python, Tableau, communication, data mining, Hadoop, R",Bangalore/Bengaluru,5-10,Data Science,Naukri
Lead Data Scientist,"Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL","Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL",Bangalore/Bengaluru,7-12,Data Science,Naukri
