company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
Zf Rane Automotive,4.0,862,--,48,Skill Development / Learning,Promotions / Appraisal
Stanza Living,3.0,862,22,75,,"Job Security, Promotions / Appraisal, Company Culture"
Tata Consumer Products,3.7,862,12,59,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
JK Lakshmi Cement,3.9,861,2,56,,
Softenger,4.3,860,12,46,"Work Life Balance, Company Culture, Work Satisfaction",
Pacific BPO,3.5,860,73,68,,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
Siemens Gamesa Renewable Power Private Limited,4.1,859,21,52,"Work Life Balance, Company Culture, Work Satisfaction",
Edelweiss Tokio Life Insurance,3.7,858,47,42,,"Promotions / Appraisal, Work Satisfaction"
HPCL-Mittal Energy Limited,4.3,858,--,33,"Job Security, Salary & Benefits, Work Life Balance",
OM Logistics,4.0,858,9,56,Job Security,Promotions / Appraisal
Dassault Systemes,4.0,857,--,143,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Adani Ports and SEZ,3.8,856,--,57,,Promotions / Appraisal
Petrofac,4.4,855,11,40,"Salary & Benefits, Work Life Balance, Company Culture",
Strides Pharma,4.0,855,4,57,Skill Development / Learning,"Job Security, Promotions / Appraisal"
Onward Technologies Inc,3.1,854,23,71,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Viraj Profiles,3.9,854,7,71,Skill Development / Learning,"Promotions / Appraisal, Company Culture"
Barbeque Nation,4.0,853,16,32,"Company Culture, Job Security, Skill Development / Learning",
Tikona Infinet,3.6,853,--,27,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Power Grid Corporation of India,4.3,850,--,62,"Salary & Benefits, Company Culture, Skill Development / Learning",
Prodapt,3.7,850,16,91,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
CenturyPly,3.9,849,5,60,Salary & Benefits,Promotions / Appraisal
ZF Steering Gear,3.8,847,3,37,,Promotions / Appraisal
MDIndia Health Insurance TPA,3.8,847,19,56,,"Promotions / Appraisal, Salary & Benefits"
Evision Technoserve,4.8,846,--,15,"Company Culture, Work Satisfaction, Work Life Balance",
Colliers International,4.0,842,21,57,,
Ceasefire Industries,3.3,841,5,85,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
SBFC Finance,3.7,841,25,55,,"Promotions / Appraisal, Company Culture, Job Security"
Orchids International School,3.0,840,20,86,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Gannon Dunkerley & Co.,3.7,840,--,36,,"Salary & Benefits, Promotions / Appraisal, Company Culture"
Sri Chaitanya Educational Institutions,3.8,839,--,35,,"Promotions / Appraisal, Salary & Benefits"
1point1 Solutions,3.4,839,23,68,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Fusion Microfinance,4.1,835,10,38,"Job Security, Skill Development / Learning, Salary & Benefits",
Diageo,4.1,835,98,61,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal
Hyundai Mobis,3.9,833,24,58,"Job Security, Salary & Benefits",Promotions / Appraisal
TKIL,4.2,832,3,56,"Job Security, Company Culture, Work Life Balance",
Mando Automotive,3.9,828,--,47,"Job Security, Skill Development / Learning",Promotions / Appraisal
Air India,3.8,827,13,101,,Promotions / Appraisal
The Akshaya Patra Foundation,4.7,824,4,34,"Company Culture, Work Life Balance, Job Security",
Caratlane Trading,4.3,824,1,44,"Skill Development / Learning, Company Culture, Job Security",
Zepto,3.7,824,74,161,,"Promotions / Appraisal, Work Life Balance, Job Security"
Syngenta,4.2,824,18,60,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Kendriya Vidyalaya Sangathan,4.4,824,--,78,"Skill Development / Learning, Work Life Balance, Work Satisfaction","Job Security, Promotions / Appraisal"
Genius Consultants,3.8,824,1,48,,"Promotions / Appraisal, Salary & Benefits"
Teva Pharmaceuticals,4.0,823,28,55,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Piramal Pharma,4.0,822,252,83,"Company Culture, Job Security, Salary & Benefits",Promotions / Appraisal
CALIBEHR,4.1,822,6,54,"Skill Development / Learning, Company Culture",Promotions / Appraisal
BGR Energy Systems,3.7,821,--,42,,"Promotions / Appraisal, Salary & Benefits"
Infra.Market,4.1,821,13,52,"Salary & Benefits, Company Culture, Work Life Balance",
Adani Green Energy,4.1,820,2,82,"Job Security, Salary & Benefits, Skill Development / Learning",
CarDekho,3.7,818,36,67,,"Promotions / Appraisal, Job Security"
XcelServ Solutions,4.5,817,--,11,"Work Life Balance, Skill Development / Learning, Salary & Benefits",
Jubilant Pharmova,3.9,814,8,56,,Promotions / Appraisal
Northern Trust,3.8,814,1,96,,Promotions / Appraisal
Sundaram Finance,4.2,814,14,30,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
V2 Retail,3.4,813,4,51,,"Job Security, Company Culture, Work Satisfaction"
Kirloskar Brothers,3.9,813,5,64,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
ICICI Prudential Mutual Fund,3.8,811,--,64,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
eClinicalWorks,3.9,810,10,64,"Job Security, Salary & Benefits, Work Life Balance","Skill Development / Learning, Promotions / Appraisal"
Nasser S. Al Hajri Corporation,3.5,810,--,24,Job Security,"Company Culture, Promotions / Appraisal, Salary & Benefits"
Shalby Hospitals,4.5,809,28,30,"Skill Development / Learning, Work Life Balance, Company Culture",
Tube Investments of India,4.0,809,25,43,"Job Security, Skill Development / Learning",Promotions / Appraisal
Vistaar Finance,4.1,808,1,26,"Salary & Benefits, Company Culture, Skill Development / Learning",
Serco,4.4,807,--,31,"Work Life Balance, Work Satisfaction, Skill Development / Learning",
TradeIndia (Infocom Network Private Limited),3.3,807,24,69,,"Promotions / Appraisal, Job Security, Work Satisfaction"
iQor Global Services,3.6,807,4,24,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Spandana Sphoorty Financial,3.8,807,8,37,,
TechnipFMC,4.0,807,--,65,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Unicharm,4.2,806,--,50,"Salary & Benefits, Job Security, Skill Development / Learning",
AJIO,3.7,806,--,64,,Promotions / Appraisal
KIMS Hospital,4.0,805,--,31,"Skill Development / Learning, Job Security, Work Life Balance",
Hindustan Zinc,3.9,803,--,41,Salary & Benefits,"Work Life Balance, Company Culture, Promotions / Appraisal"
JTEKT,4.2,802,--,59,"Company Culture, Job Security, Skill Development / Learning",
Rashmi Metaliks,3.5,802,10,69,,"Company Culture, Job Security, Work Satisfaction"
Imperial Auto Industries,3.9,801,2,52,Job Security,"Promotions / Appraisal, Salary & Benefits"
Grant Thornton,3.7,798,73,96,Job Security,Promotions / Appraisal
Capital Numbers Infotech,4.6,798,14,30,"Work Life Balance, Company Culture, Work Satisfaction",
MakeMyTrip,3.7,796,14,115,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Metropolis Healthcare,4.1,795,15,44,"Skill Development / Learning, Job Security, Work Satisfaction",Promotions / Appraisal
Digit Insurance,3.8,795,13,82,"Job Security, Skill Development / Learning",Promotions / Appraisal
T-Systems ICT India,3.8,794,33,83,Work Life Balance,Promotions / Appraisal
Ahluwalia Contracts India,4.1,794,20,45,"Job Security, Skill Development / Learning",
Nilkamal,3.9,794,8,50,Job Security,"Promotions / Appraisal, Salary & Benefits"
Consolidated Contractors,4.5,793,--,32,"Work Satisfaction, Work Life Balance, Skill Development / Learning",
Salesforce,4.1,793,166,256,"Salary & Benefits, Work Life Balance, Company Culture",
Centre for Development of Advanced Computing,3.8,793,--,92,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
Pizza Hut,4.0,792,--,43,"Skill Development / Learning, Company Culture, Job Security",
VIP Industries,3.9,792,5,38,,"Promotions / Appraisal, Job Security"
Arvind Lifestyle Brands,4.1,792,4,13,"Company Culture, Work Life Balance, Skill Development / Learning",
VeeTechnologies,3.8,790,18,80,Job Security,Promotions / Appraisal
Colgate Palmolive,4.2,790,--,68,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Dana Anand,4.2,790,--,38,"Job Security, Skill Development / Learning, Company Culture",
Secure Meters,4.1,788,35,62,"Job Security, Company Culture, Work Life Balance",
Birla Corporation,4.2,786,1,52,"Job Security, Work Life Balance, Company Culture",
Gmmco,4.1,785,1,35,"Skill Development / Learning, Job Security, Work Life Balance",Promotions / Appraisal
FLSmidth,3.7,785,9,33,Work Life Balance,"Job Security, Promotions / Appraisal"
LOREAL,4.0,783,11,57,"Salary & Benefits, Skill Development / Learning, Company Culture",Promotions / Appraisal
Uber,4.2,783,1,148,"Company Culture, Work Life Balance, Salary & Benefits",
Hathway,3.5,782,3,41,,"Promotions / Appraisal, Salary & Benefits, Job Security"
TK Elevator,4.0,782,--,49,"Job Security, Work Life Balance",Promotions / Appraisal
TK Elevator,4.0,782,--,49,"Job Security, Work Life Balance",Promotions / Appraisal
Patra Corporation,3.8,781,8,69,"Job Security, Company Culture, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
SHYAM METALICS AND ENERGY,3.6,781,1,80,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Vedanta Aluminium,3.9,781,--,43,"Salary & Benefits, Job Security",Work Satisfaction
Punj Lloyd,4.4,780,--,18,"Work Life Balance, Company Culture, Work Satisfaction",
Visionet Systems,3.2,779,14,65,,"Promotions / Appraisal, Job Security, Salary & Benefits"
United Alliance Technology,4.9,777,--,5,"Company Culture, Work Life Balance, Work Satisfaction",
Lemon Tree Hotels,4.2,777,--,44,"Job Security, Company Culture, Skill Development / Learning",
Indium Software,4.1,777,13,121,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Sundaram Clayton,4.1,776,5,27,"Skill Development / Learning, Salary & Benefits, Company Culture",
Aspire Systems,3.9,776,150,110,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Willis Towers Watson,3.8,776,--,77,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
MAHLE ANAND Filter Systems,4.0,775,--,27,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Hikal,3.9,775,67,54,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
AstraZeneca,4.2,775,142,48,"Work Life Balance, Company Culture, Job Security",
Sri Chaitanya Techno Schools,3.7,772,--,45,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Volkswagen,4.2,772,--,43,"Work Life Balance, Company Culture, Skill Development / Learning",
HFCL,4.1,771,1,54,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
Test Yantra Software Solutions,3.3,771,1,115,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Indira IVF Hospital,3.9,770,73,41,Skill Development / Learning,
Citco,3.1,769,74,125,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
Astral Pipe,4.1,768,1,56,"Job Security, Work Life Balance, Skill Development / Learning",
Amara Raja Group,4.2,768,1,65,"Job Security, Skill Development / Learning, Company Culture",
Perfetti Van Melle,4.2,766,9,24,"Company Culture, Work Life Balance, Work Satisfaction",
City Union Bank,3.3,766,26,74,,"Work Life Balance, Promotions / Appraisal, Company Culture"
Pernod Ricard,3.8,766,--,42,Salary & Benefits,Promotions / Appraisal
Allianz Technology,4.2,766,1,58,"Work Life Balance, Company Culture, Job Security",
Troikaa Pharmaceuticals,3.6,763,3,49,,"Job Security, Company Culture, Work Satisfaction"
INDO-MIM,4.2,763,1,54,"Job Security, Skill Development / Learning, Work Life Balance",
Pricol,4.0,762,4,37,"Skill Development / Learning, Company Culture, Work Satisfaction",Promotions / Appraisal
Air India Sats Airport Services,3.7,762,1,52,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Innova Solutions,3.5,761,51,81,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Apex Group,2.7,761,89,121,,"Promotions / Appraisal, Job Security, Company Culture"
Temenos,3.3,759,15,79,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Apotex Research,4.1,758,10,24,"Work Life Balance, Company Culture",Promotions / Appraisal
Meril,3.7,758,29,46,Job Security,"Promotions / Appraisal, Salary & Benefits"
Ford Business Solutions,4.4,758,102,43,"Company Culture, Work Life Balance, Work Satisfaction",
Mahindra First Choice Wheels,3.8,756,1,39,,Promotions / Appraisal
Leadec India,4.1,756,32,61,"Company Culture, Job Security, Work Life Balance",
Next Education India,3.7,755,48,39,,"Promotions / Appraisal, Job Security"
Federal Bank,3.8,755,--,120,"Job Security, Salary & Benefits","Promotions / Appraisal, Work Satisfaction, Work Life Balance"
SK Finance Limited,4.3,754,7,56,"Skill Development / Learning, Company Culture, Job Security",
London Stock Exchange Group,4.1,754,--,124,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Feedback Infrastructure Services,3.5,753,11,38,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Skill Lync,3.1,751,--,88,,"Job Security, Promotions / Appraisal, Work Satisfaction"
DLF,4.0,751,2,70,"Salary & Benefits, Skill Development / Learning",Promotions / Appraisal
ValueMomentum,3.3,751,21,80,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Otis Elevator,4.0,749,45,46,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Schaeffler India,4.2,749,--,49,"Job Security, Work Life Balance, Skill Development / Learning",
Kalpataru Group,4.0,748,1,47,"Job Security, Work Life Balance",Promotions / Appraisal
Cult.fit,3.7,747,16,68,,"Job Security, Promotions / Appraisal"
Egis  India Consulting Engineers,4.1,744,3,48,"Work Life Balance, Company Culture, Work Satisfaction",
Edubridge Learning,4.1,743,12,40,"Skill Development / Learning, Company Culture, Work Life Balance",
Aparna Constructions and Estates,4.1,742,29,79,"Job Security, Skill Development / Learning, Work Life Balance",
Globant,3.9,739,68,159,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
Better.com,3.0,738,5,53,Salary & Benefits,"Job Security, Skill Development / Learning, Promotions / Appraisal"
Nirma,4.3,737,--,40,"Job Security, Work Life Balance, Work Satisfaction",
Bosch Chassis Systems,4.1,737,--,37,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Kohler,3.9,737,34,49,Salary & Benefits,"Promotions / Appraisal, Job Security"
Tekwissen,4.8,736,--,10,"Skill Development / Learning, Company Culture, Work Life Balance",
Intex Technologies,3.7,734,--,16,,"Job Security, Promotions / Appraisal, Company Culture"
Mastek,3.5,733,10,113,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
C&S Electric,4.0,733,12,42,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Capacit'e Infraprojects,3.6,733,4,52,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Aarvi Encon,4.0,733,--,57,Work Satisfaction,"Promotions / Appraisal, Job Security"
Lowe's,4.2,732,2,116,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
CNH Industrial,4.0,732,7,51,Work Life Balance,Promotions / Appraisal
Tata Chemicals,4.1,732,23,57,"Job Security, Work Life Balance, Skill Development / Learning",
Baroda Global Shared Services,4.0,732,43,44,"Work Life Balance, Company Culture, Work Satisfaction",
Westside,4.1,731,--,37,"Job Security, Skill Development / Learning, Company Culture",
Rupeek,3.7,731,30,58,,"Job Security, Promotions / Appraisal"
Asirvad Microfinance,3.9,731,5,26,,
LEAD School,3.3,731,10,82,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Biocon Biologics,3.6,731,--,86,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
SLK Global Services,3.8,730,--,29,Job Security,"Salary & Benefits, Promotions / Appraisal"
Future Focus Infotech,3.6,730,2,47,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Vertiv,4.0,730,111,46,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Shriram General Insurance,3.6,730,5,30,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Gharda Chemicals Limited,4.1,729,4,47,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Lakshmi Machine Works,4.0,729,1,49,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Dunzo,3.4,729,--,73,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Everest Industries,4.1,728,6,40,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Knorr-Bremse,4.0,728,6,48,Work Life Balance,Promotions / Appraisal
Marks & Spencer,4.1,728,4,31,"Job Security, Company Culture, Skill Development / Learning",
Netcracker Technology,3.0,727,1,111,,"Job Security, Promotions / Appraisal, Company Culture"
GVPR Engineers,3.8,727,2,55,,Promotions / Appraisal
Fractal Analytics,4.0,726,72,178,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Wheels,4.1,725,--,53,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Netscribes,2.8,725,27,79,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Godrej Agrovet,4.1,724,2,46,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
